,websitelink,timestamp
0,https://web.archive.org/web/20220803074104/https://www.instagram.com,20220803074104
1,https://web.archive.org/web/20220802224647/https://www.instagram.com,20220802224647
2,https://web.archive.org/web/20220801233151/https://www.instagram.com,20220801233151
3,https://web.archive.org/web/20220731235726/https://www.instagram.com,20220731235726
4,https://web.archive.org/web/20220730235837/https://www.instagram.com,20220730235837
5,https://web.archive.org/web/20220729235602/https://www.instagram.com,20220729235602
6,https://web.archive.org/web/20220728235536/https://www.instagram.com,20220728235536
7,https://web.archive.org/web/20220727235835/https://www.instagram.com,20220727235835
8,https://web.archive.org/web/20220726235852/https://www.instagram.com,20220726235852
9,https://web.archive.org/web/20220725235810/https://www.instagram.com,20220725235810
