,websitelink
0,https://web.archive.org/web/20220802111832/https://www.amazon.com
1,https://web.archive.org/web/20220802111831/http://www.amazon.com
2,https://web.archive.org/web/20220802101836/https://www.amazon.com
3,https://web.archive.org/web/20220802074523/https://www.amazon.com
4,https://web.archive.org/web/20220802053506/https://www.amazon.com
5,https://web.archive.org/web/20220802034637/http://www.amazon.com
