,websitelink,timestamp
0,https://digital.library.yorku.ca/wayback/20220717160736/https://google.com,20220717160736
1,https://digital.library.yorku.ca/wayback/20220716211150/http://www.google.com,20220716211150
2,https://arquivo.pt/wayback/20220715010613mp_/http://www.google.com,20220715010613
3,http://wayback.vefsafn.is/wayback/20220712100520/https://google.com,20220712100520
4,https://arquivo.pt/wayback/20220709231051mp_/https://www.google.com,20220709231051
5,https://arquivo.pt/wayback/20220708183703mp_/https://www.google.com,20220708183703
6,http://wayback.vefsafn.is/wayback/20220707234920/https://google.com,20220707234920
7,http://wayback.vefsafn.is/wayback/20220705100248/https://google.com,20220705100248
8,https://digital.library.yorku.ca/wayback/20220703125410/https://google.com,20220703125410
9,https://digital.library.yorku.ca/wayback/20220702053406/http://www.google.com,20220702053406
