,websitelink
0,http://wayback.nli.org.il:8080/20181021154712/https://twitter.com
1,http://wayback.nli.org.il:8080/20181021150844/https://twitter.com
2,http://wayback.nli.org.il:8080/20181021142648/https://twitter.com
3,http://wayback.nli.org.il:8080/20181021140439/https://twitter.com
4,http://wayback.nli.org.il:8080/20181021133506/https://twitter.com
5,http://wayback.nli.org.il:8080/20181021133055/https://twitter.com
